"","Planning_Area","Post Secondary (Polytechnic/Diploma)","Year","Education","Education_count","Housing","Housing_count","Income","Income_count"
"865","Choa Chu Kang",35539,"1/1/2010","Education: Primary to Secondary",45836,"Housing: Others",0,"Income: No Working Person",2356
"866","Choa Chu Kang",35539,"1/1/2010","Education: Primary to Secondary",45836,"Housing: Others",0,"Income: Below $1,000",846
"867","Choa Chu Kang",35539,"1/1/2010","Education: Primary to Secondary",45836,"Housing: Others",0,"Income: $1,000 to $2,999",5954
"868","Choa Chu Kang",35539,"1/1/2010","Education: Primary to Secondary",45836,"Housing: Others",0,"Income: $3,000 to $4,999",8312
"869","Choa Chu Kang",35539,"1/1/2010","Education: Primary to Secondary",45836,"Housing: Others",0,"Income: $5,000 to $9,999",17547
"870","Choa Chu Kang",35539,"1/1/2010","Education: Primary to Secondary",45836,"Housing: Others",0,"Income: $10,000 & Over",12899
"871","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: HDB 1-3 Rooms",1627,"Income: No Working Person",2356
"872","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: HDB 1-3 Rooms",1627,"Income: Below $1,000",846
"873","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: HDB 1-3 Rooms",1627,"Income: $1,000 to $2,999",5954
"874","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: HDB 1-3 Rooms",1627,"Income: $3,000 to $4,999",8312
"875","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: HDB 1-3 Rooms",1627,"Income: $5,000 to $9,999",17547
"876","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: HDB 1-3 Rooms",1627,"Income: $10,000 & Over",12899
"877","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: HDB 4-5 Rooms",41380,"Income: No Working Person",2356
"878","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: HDB 4-5 Rooms",41380,"Income: Below $1,000",846
"879","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: HDB 4-5 Rooms",41380,"Income: $1,000 to $2,999",5954
"880","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: HDB 4-5 Rooms",41380,"Income: $3,000 to $4,999",8312
"881","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: HDB 4-5 Rooms",41380,"Income: $5,000 to $9,999",17547
"882","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: HDB 4-5 Rooms",41380,"Income: $10,000 & Over",12899
"883","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Condominiums and Other Apartments",4277,"Income: No Working Person",2356
"884","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Condominiums and Other Apartments",4277,"Income: Below $1,000",846
"885","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Condominiums and Other Apartments",4277,"Income: $1,000 to $2,999",5954
"886","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Condominiums and Other Apartments",4277,"Income: $3,000 to $4,999",8312
"887","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Condominiums and Other Apartments",4277,"Income: $5,000 to $9,999",17547
"888","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Condominiums and Other Apartments",4277,"Income: $10,000 & Over",12899
"889","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Landed Properties",628,"Income: No Working Person",2356
"890","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Landed Properties",628,"Income: Below $1,000",846
"891","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Landed Properties",628,"Income: $1,000 to $2,999",5954
"892","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Landed Properties",628,"Income: $3,000 to $4,999",8312
"893","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Landed Properties",628,"Income: $5,000 to $9,999",17547
"894","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Landed Properties",628,"Income: $10,000 & Over",12899
"895","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Others",0,"Income: No Working Person",2356
"896","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Others",0,"Income: Below $1,000",846
"897","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Others",0,"Income: $1,000 to $2,999",5954
"898","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Others",0,"Income: $3,000 to $4,999",8312
"899","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Others",0,"Income: $5,000 to $9,999",17547
"900","Choa Chu Kang",35539,"1/1/2010","Education: University",25711,"Housing: Others",0,"Income: $10,000 & Over",12899
"901","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: HDB 1-3 Rooms",13561,"Income: No Working Person",4321
"902","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: HDB 1-3 Rooms",13561,"Income: Below $1,000",1239
"903","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: HDB 1-3 Rooms",13561,"Income: $1,000 to $2,999",4586
"904","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: HDB 1-3 Rooms",13561,"Income: $3,000 to $4,999",4393
"905","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: HDB 1-3 Rooms",13561,"Income: $5,000 to $9,999",7909
"906","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: HDB 1-3 Rooms",13561,"Income: $10,000 & Over",8344
"907","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: HDB 4-5 Rooms",11342,"Income: No Working Person",4321
"908","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: HDB 4-5 Rooms",11342,"Income: Below $1,000",1239
"909","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: HDB 4-5 Rooms",11342,"Income: $1,000 to $2,999",4586
"910","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: HDB 4-5 Rooms",11342,"Income: $3,000 to $4,999",4393
"911","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: HDB 4-5 Rooms",11342,"Income: $5,000 to $9,999",7909
"912","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: HDB 4-5 Rooms",11342,"Income: $10,000 & Over",8344
"913","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Condominiums and Other Apartments",4047,"Income: No Working Person",4321
"914","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Condominiums and Other Apartments",4047,"Income: Below $1,000",1239
"915","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Condominiums and Other Apartments",4047,"Income: $1,000 to $2,999",4586
"916","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Condominiums and Other Apartments",4047,"Income: $3,000 to $4,999",4393
"917","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Condominiums and Other Apartments",4047,"Income: $5,000 to $9,999",7909
"918","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Condominiums and Other Apartments",4047,"Income: $10,000 & Over",8344
"919","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Landed Properties",1673,"Income: No Working Person",4321
"920","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Landed Properties",1673,"Income: Below $1,000",1239
"921","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Landed Properties",1673,"Income: $1,000 to $2,999",4586
"922","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Landed Properties",1673,"Income: $3,000 to $4,999",4393
"923","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Landed Properties",1673,"Income: $5,000 to $9,999",7909
"924","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Landed Properties",1673,"Income: $10,000 & Over",8344
"925","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Others",169,"Income: No Working Person",4321
"926","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Others",169,"Income: Below $1,000",1239
"927","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Others",169,"Income: $1,000 to $2,999",4586
"928","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Others",169,"Income: $3,000 to $4,999",4393
"929","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Others",169,"Income: $5,000 to $9,999",7909
"930","Clementi",15982,"1/1/2010","Education: No Qualification",11044,"Housing: Others",169,"Income: $10,000 & Over",8344
"931","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: HDB 1-3 Rooms",13561,"Income: No Working Person",4321
"932","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: HDB 1-3 Rooms",13561,"Income: Below $1,000",1239
"933","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: HDB 1-3 Rooms",13561,"Income: $1,000 to $2,999",4586
"934","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: HDB 1-3 Rooms",13561,"Income: $3,000 to $4,999",4393
"935","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: HDB 1-3 Rooms",13561,"Income: $5,000 to $9,999",7909
"936","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: HDB 1-3 Rooms",13561,"Income: $10,000 & Over",8344
"937","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: HDB 4-5 Rooms",11342,"Income: No Working Person",4321
"938","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: HDB 4-5 Rooms",11342,"Income: Below $1,000",1239
"939","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: HDB 4-5 Rooms",11342,"Income: $1,000 to $2,999",4586
"940","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: HDB 4-5 Rooms",11342,"Income: $3,000 to $4,999",4393
"941","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: HDB 4-5 Rooms",11342,"Income: $5,000 to $9,999",7909
"942","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: HDB 4-5 Rooms",11342,"Income: $10,000 & Over",8344
"943","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Condominiums and Other Apartments",4047,"Income: No Working Person",4321
"944","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Condominiums and Other Apartments",4047,"Income: Below $1,000",1239
"945","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Condominiums and Other Apartments",4047,"Income: $1,000 to $2,999",4586
"946","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Condominiums and Other Apartments",4047,"Income: $3,000 to $4,999",4393
"947","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Condominiums and Other Apartments",4047,"Income: $5,000 to $9,999",7909
"948","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Condominiums and Other Apartments",4047,"Income: $10,000 & Over",8344
"949","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Landed Properties",1673,"Income: No Working Person",4321
"950","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Landed Properties",1673,"Income: Below $1,000",1239
"951","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Landed Properties",1673,"Income: $1,000 to $2,999",4586
"952","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Landed Properties",1673,"Income: $3,000 to $4,999",4393
"953","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Landed Properties",1673,"Income: $5,000 to $9,999",7909
"954","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Landed Properties",1673,"Income: $10,000 & Over",8344
"955","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Others",169,"Income: No Working Person",4321
"956","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Others",169,"Income: Below $1,000",1239
"957","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Others",169,"Income: $1,000 to $2,999",4586
"958","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Others",169,"Income: $3,000 to $4,999",4393
"959","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Others",169,"Income: $5,000 to $9,999",7909
"960","Clementi",15982,"1/1/2010","Education: Primary to Secondary",23221,"Housing: Others",169,"Income: $10,000 & Over",8344
"961","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: HDB 1-3 Rooms",13561,"Income: No Working Person",4321
"962","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: HDB 1-3 Rooms",13561,"Income: Below $1,000",1239
"963","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: HDB 1-3 Rooms",13561,"Income: $1,000 to $2,999",4586
"964","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: HDB 1-3 Rooms",13561,"Income: $3,000 to $4,999",4393
"965","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: HDB 1-3 Rooms",13561,"Income: $5,000 to $9,999",7909
"966","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: HDB 1-3 Rooms",13561,"Income: $10,000 & Over",8344
"967","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: HDB 4-5 Rooms",11342,"Income: No Working Person",4321
"968","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: HDB 4-5 Rooms",11342,"Income: Below $1,000",1239
"969","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: HDB 4-5 Rooms",11342,"Income: $1,000 to $2,999",4586
"970","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: HDB 4-5 Rooms",11342,"Income: $3,000 to $4,999",4393
"971","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: HDB 4-5 Rooms",11342,"Income: $5,000 to $9,999",7909
"972","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: HDB 4-5 Rooms",11342,"Income: $10,000 & Over",8344
"973","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Condominiums and Other Apartments",4047,"Income: No Working Person",4321
"974","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Condominiums and Other Apartments",4047,"Income: Below $1,000",1239
"975","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Condominiums and Other Apartments",4047,"Income: $1,000 to $2,999",4586
"976","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Condominiums and Other Apartments",4047,"Income: $3,000 to $4,999",4393
"977","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Condominiums and Other Apartments",4047,"Income: $5,000 to $9,999",7909
"978","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Condominiums and Other Apartments",4047,"Income: $10,000 & Over",8344
"979","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Landed Properties",1673,"Income: No Working Person",4321
"980","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Landed Properties",1673,"Income: Below $1,000",1239
"981","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Landed Properties",1673,"Income: $1,000 to $2,999",4586
"982","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Landed Properties",1673,"Income: $3,000 to $4,999",4393
"983","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Landed Properties",1673,"Income: $5,000 to $9,999",7909
"984","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Landed Properties",1673,"Income: $10,000 & Over",8344
"985","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Others",169,"Income: No Working Person",4321
"986","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Others",169,"Income: Below $1,000",1239
"987","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Others",169,"Income: $1,000 to $2,999",4586
"988","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Others",169,"Income: $3,000 to $4,999",4393
"989","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Others",169,"Income: $5,000 to $9,999",7909
"990","Clementi",15982,"1/1/2010","Education: University",19413,"Housing: Others",169,"Income: $10,000 & Over",8344
"991","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: HDB 1-3 Rooms",577,"Income: No Working Person",198
"992","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: HDB 1-3 Rooms",577,"Income: Below $1,000",40
"993","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: HDB 1-3 Rooms",577,"Income: $1,000 to $2,999",222
"994","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: HDB 1-3 Rooms",577,"Income: $3,000 to $4,999",183
"995","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: HDB 1-3 Rooms",577,"Income: $5,000 to $9,999",439
"996","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: HDB 1-3 Rooms",577,"Income: $10,000 & Over",346
"997","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: HDB 4-5 Rooms",304,"Income: No Working Person",198
"998","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: HDB 4-5 Rooms",304,"Income: Below $1,000",40
"999","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: HDB 4-5 Rooms",304,"Income: $1,000 to $2,999",222
"1000","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: HDB 4-5 Rooms",304,"Income: $3,000 to $4,999",183
"1001","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: HDB 4-5 Rooms",304,"Income: $5,000 to $9,999",439
"1002","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: HDB 4-5 Rooms",304,"Income: $10,000 & Over",346
"1003","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Condominiums and Other Apartments",542,"Income: No Working Person",198
"1004","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Condominiums and Other Apartments",542,"Income: Below $1,000",40
"1005","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Condominiums and Other Apartments",542,"Income: $1,000 to $2,999",222
"1006","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Condominiums and Other Apartments",542,"Income: $3,000 to $4,999",183
"1007","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Condominiums and Other Apartments",542,"Income: $5,000 to $9,999",439
"1008","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Condominiums and Other Apartments",542,"Income: $10,000 & Over",346
"1009","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Landed Properties",0,"Income: No Working Person",198
"1010","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Landed Properties",0,"Income: Below $1,000",40
"1011","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Landed Properties",0,"Income: $1,000 to $2,999",222
"1012","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Landed Properties",0,"Income: $3,000 to $4,999",183
"1013","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Landed Properties",0,"Income: $5,000 to $9,999",439
"1014","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Landed Properties",0,"Income: $10,000 & Over",346
"1015","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Others",6,"Income: No Working Person",198
"1016","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Others",6,"Income: Below $1,000",40
"1017","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Others",6,"Income: $1,000 to $2,999",222
"1018","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Others",6,"Income: $3,000 to $4,999",183
"1019","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Others",6,"Income: $5,000 to $9,999",439
"1020","Downtown Core",606,"1/1/2010","Education: No Qualification",547,"Housing: Others",6,"Income: $10,000 & Over",346
"1021","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: HDB 1-3 Rooms",577,"Income: No Working Person",198
"1022","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: HDB 1-3 Rooms",577,"Income: Below $1,000",40
"1023","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: HDB 1-3 Rooms",577,"Income: $1,000 to $2,999",222
"1024","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: HDB 1-3 Rooms",577,"Income: $3,000 to $4,999",183
"1025","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: HDB 1-3 Rooms",577,"Income: $5,000 to $9,999",439
"1026","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: HDB 1-3 Rooms",577,"Income: $10,000 & Over",346
"1027","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: HDB 4-5 Rooms",304,"Income: No Working Person",198
"1028","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: HDB 4-5 Rooms",304,"Income: Below $1,000",40
"1029","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: HDB 4-5 Rooms",304,"Income: $1,000 to $2,999",222
"1030","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: HDB 4-5 Rooms",304,"Income: $3,000 to $4,999",183
"1031","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: HDB 4-5 Rooms",304,"Income: $5,000 to $9,999",439
"1032","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: HDB 4-5 Rooms",304,"Income: $10,000 & Over",346
"1033","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Condominiums and Other Apartments",542,"Income: No Working Person",198
"1034","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Condominiums and Other Apartments",542,"Income: Below $1,000",40
"1035","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Condominiums and Other Apartments",542,"Income: $1,000 to $2,999",222
"1036","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Condominiums and Other Apartments",542,"Income: $3,000 to $4,999",183
"1037","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Condominiums and Other Apartments",542,"Income: $5,000 to $9,999",439
"1038","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Condominiums and Other Apartments",542,"Income: $10,000 & Over",346
"1039","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Landed Properties",0,"Income: No Working Person",198
"1040","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Landed Properties",0,"Income: Below $1,000",40
"1041","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Landed Properties",0,"Income: $1,000 to $2,999",222
"1042","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Landed Properties",0,"Income: $3,000 to $4,999",183
"1043","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Landed Properties",0,"Income: $5,000 to $9,999",439
"1044","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Landed Properties",0,"Income: $10,000 & Over",346
"1045","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Others",6,"Income: No Working Person",198
"1046","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Others",6,"Income: Below $1,000",40
"1047","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Others",6,"Income: $1,000 to $2,999",222
"1048","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Others",6,"Income: $3,000 to $4,999",183
"1049","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Others",6,"Income: $5,000 to $9,999",439
"1050","Downtown Core",606,"1/1/2010","Education: Primary to Secondary",941,"Housing: Others",6,"Income: $10,000 & Over",346
"1051","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: HDB 1-3 Rooms",577,"Income: No Working Person",198
"1052","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: HDB 1-3 Rooms",577,"Income: Below $1,000",40
"1053","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: HDB 1-3 Rooms",577,"Income: $1,000 to $2,999",222
"1054","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: HDB 1-3 Rooms",577,"Income: $3,000 to $4,999",183
"1055","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: HDB 1-3 Rooms",577,"Income: $5,000 to $9,999",439
"1056","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: HDB 1-3 Rooms",577,"Income: $10,000 & Over",346
"1057","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: HDB 4-5 Rooms",304,"Income: No Working Person",198
"1058","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: HDB 4-5 Rooms",304,"Income: Below $1,000",40
"1059","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: HDB 4-5 Rooms",304,"Income: $1,000 to $2,999",222
"1060","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: HDB 4-5 Rooms",304,"Income: $3,000 to $4,999",183
"1061","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: HDB 4-5 Rooms",304,"Income: $5,000 to $9,999",439
"1062","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: HDB 4-5 Rooms",304,"Income: $10,000 & Over",346
"1063","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Condominiums and Other Apartments",542,"Income: No Working Person",198
"1064","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Condominiums and Other Apartments",542,"Income: Below $1,000",40
"1065","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Condominiums and Other Apartments",542,"Income: $1,000 to $2,999",222
"1066","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Condominiums and Other Apartments",542,"Income: $3,000 to $4,999",183
"1067","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Condominiums and Other Apartments",542,"Income: $5,000 to $9,999",439
"1068","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Condominiums and Other Apartments",542,"Income: $10,000 & Over",346
"1069","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Landed Properties",0,"Income: No Working Person",198
"1070","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Landed Properties",0,"Income: Below $1,000",40
"1071","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Landed Properties",0,"Income: $1,000 to $2,999",222
"1072","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Landed Properties",0,"Income: $3,000 to $4,999",183
"1073","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Landed Properties",0,"Income: $5,000 to $9,999",439
"1074","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Landed Properties",0,"Income: $10,000 & Over",346
"1075","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Others",6,"Income: No Working Person",198
"1076","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Others",6,"Income: Below $1,000",40
"1077","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Others",6,"Income: $1,000 to $2,999",222
"1078","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Others",6,"Income: $3,000 to $4,999",183
"1079","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Others",6,"Income: $5,000 to $9,999",439
"1080","Downtown Core",606,"1/1/2010","Education: University",1010,"Housing: Others",6,"Income: $10,000 & Over",346
